"","A~HW","A~A_th","A~A_th*D","A~I(A_th*D)","Reis Area"
"All",0.909747979124347,0.909987555075935,0.913952377039488,0.898354769904403,0.91
"242",0.980096094960106,0.977701974945713,0.981435011275616,0.962566240801456,0.91
"246",0.815323882206304,0.812172696389987,0.851331177549873,0.856153123480042,0.91
"319",0.514279091609491,0.517729822686307,0.487282890298093,0.471484390914875,0.91
"325",0.907152120537339,0.896361599628783,0.893381833199592,0.88952316007575,0.91
"326",0.924222898213695,0.92397870967498,0.95564493772033,0.947901095311868,0.91
"390",0.706014334632607,0.708618061406171,0.733827321176682,0.68489193738115,0.91
"572",0.735352179197428,0.729114630497995,0.877705808968156,0.825692222276449,0.91
"580",0.769764319983659,0.763536798210524,0.745436700865581,0.63528000856569,0.91
"582",0.765432141754022,0.754521768955869,0.761766628439212,0.772281573535599,0.91
"584",0.952394189586367,0.954519730206137,0.96286995593818,0.956307834178427,0.91
"585",0.624032451667357,0.538296350561106,0.807502915957204,0.678039414649178,0.91
"839",0.63205652278266,0.630787869441892,0.864014403305317,0.743686081700891,0.91
"845",0.938791570800238,0.940395388282819,0.966875272867011,0.962242970219317,0.91
"854",0.245570052134803,0.289732790283675,0.427468956362057,0.332150264824889,0.91
